"","id","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","attn","q13","q14","q15","q16","q17","q18","q19","q20","q21","q22","q23","q24","q25","q26","q27","q28","q29","q30","q31","q32","q33","q34","q35","q36","q37","q38","q39","q40","q41","q42","q43","q44","q45","age","gid1","gid2","race","hispanic","ed","sud_hx"
"1",1,5,5,5,5,5,5,5,5,5,5,1,4,1,4,5,5,4,5,4,5,3,5,5,5,5,5,5,5,2,5,5,5,5,5,1,1,5,5,5,1,1,1,2,5,5,5,42,"Woman","Yes","White","No","Bachelor’s Degree","No"
"2",2,4,5,5,5,5,5,5,4,5,5,1,5,1,4,4,3,5,3,5,3,5,4,4,5,5,4,5,5,4,5,5,5,5,2,2,3,2,5,1,4,3,2,5,4,2,4,29,"Woman","Yes","White","No","Master’s Degree","No"
"3",3,3,5,3,3,5,2,3,2,4,4,4,4,1,4,3,2,2,2,2,2,5,3,4,5,4,4,4,2,4,4,3,4,4,1,2,2,2,3,1,4,3,4,4,4,4,4,50,"Man","Yes","White","No","Professional Degree (J.D., M.D., etc.)","No"
"4",4,4,4,5,3,3,4,3,4,4,4,3,5,1,3,4,4,5,4,4,3,4,4,4,5,4,3,3,3,4,4,3,4,4,5,4,1,4,4,2,4,5,5,4,4,5,4,31,"Man","Yes","Latine or Hispanic","Yes","Associate’s Degree","No"
"5",5,5,5,5,5,5,5,5,4,5,5,1,5,1,4,5,5,4,4,3,5,5,5,5,4,4,5,5,5,5,4,3,3,5,4,1,1,3,3,2,1,2,1,3,5,5,5,56,"Woman","Yes","White","No","Associate’s Degree","Yes"
"6",6,1,4,3,3,5,2,2,2,4,2,4,3,1,3,3,1,2,2,2,2,3,1,3,5,1,1,3,3,4,4,4,4,4,2,3,3,1,3,1,2,4,2,4,4,4,2,53,"Woman","Yes","Latine or Hispanic","Yes","High School","No"
"7",7,5,5,5,5,5,5,5,5,5,5,5,5,1,5,5,3,1,1,1,5,5,5,5,5,3,1,5,5,5,5,5,5,5,1,1,1,1,5,3,5,1,1,5,5,5,5,27,"Woman","Yes","White","No","High School","No"
"8",8,4,4,3,3,4,5,4,4,3,4,4,4,1,4,3,3,4,3,3,3,5,4,5,4,1,4,5,4,4,3,4,4,2,4,3,4,3,5,3,4,4,3,4,5,4,3,39,"Man","Yes","Latine or Hispanic","Yes","Associate’s Degree","No"
"9",9,4,5,5,5,5,5,5,5,5,4,3,5,1,4,5,2,4,4,3,3,4,4,4,4,3,3,4,4,4,5,4,4,4,3,3,2,3,5,3,2,4,2,3,5,4,5,28,"Woman","Yes","White","No","High School","Yes"
"10",10,5,5,5,5,5,5,5,5,5,5,1,4,1,5,5,5,5,5,5,5,4,5,5,5,5,4,4,5,4,5,5,5,5,3,1,2,2,4,3,1,2,3,4,3,5,5,49,"Woman","Yes","White","No","Other option not represented here","Yes"
